,time,lik
695,156.4768461,222345.6712
696,156.7008761,222345.8862
697,156.9249061,222346.0983
698,157.1489362,222346.3076
699,157.3729662,222346.514
700,157.5969962,222346.7176
701,157.8210263,222346.9185
702,158.0450563,222347.1167
703,158.2690864,222347.3122
704,158.4931164,222347.5052
705,158.7171464,222347.6955
706,158.9411765,222347.8833
707,159.1652065,222348.0685
708,159.3892365,222348.2513
709,159.6132666,222348.4317
710,159.8372966,222348.6096
711,160.0613267,222348.7852
712,160.2853567,222348.9584
713,160.5093867,222349.1294
714,160.7334168,222349.298
715,160.9574468,222349.4645
716,161.1814768,222349.6287
717,161.4055069,222349.7907
718,161.6295369,222349.9506
719,161.853567,222350.1084
720,162.077597,222350.264
721,162.301627,222350.4177
722,162.5256571,222350.5693
723,162.7496871,222350.7189
724,162.9737171,222350.8665
725,163.1977472,222351.0122
726,163.4217772,222351.1559
727,163.6458073,222351.2978
728,163.8698373,222351.4378
729,164.0938673,222351.576
730,164.3178974,222351.7124
731,164.5419274,222351.847
732,164.7659574,222351.9798
733,164.9899875,222352.1109
734,165.2140175,222352.2403
735,165.4380476,222352.368
736,165.6620776,222352.494
737,165.8861076,222352.6184
738,166.1101377,222352.7411
739,166.3341677,222352.8623
740,166.5581977,222352.9819
741,166.7822278,222353.1
742,167.0062578,222353.2165
743,167.2302879,222353.3315
744,167.4543179,222353.445
745,167.6783479,222353.5571
746,167.902378,222353.6677
747,168.126408,222353.7768
748,168.350438,222353.8846
749,168.5744681,222353.991
750,168.7984981,222354.096
751,169.0225282,222354.1997
752,169.2465582,222354.302
753,169.4705882,222354.4031
754,169.6946183,222354.5028
755,169.9186483,222354.6012
756,170.1426783,222354.6984
757,170.3667084,222354.7944
758,170.5907384,222354.8891
759,170.8147685,222354.9827
760,171.0387985,222355.075
761,171.2628285,222355.1661
762,171.4868586,222355.2561
763,171.7108886,222355.345
764,171.9349186,222355.4327
765,172.1589487,222355.5193
766,172.3829787,222355.6049
767,172.6070088,222355.6893
768,172.8310388,222355.7727
769,173.0550688,222355.855
770,173.2790989,222355.9363
771,173.5031289,222356.0165
772,173.7271589,222356.0958
773,173.951189,222356.174
774,174.175219,222356.2513
775,174.3992491,222356.3276
776,174.6232791,222356.4029
777,174.8473091,222356.4773
778,175.0713392,222356.5508
779,175.2953692,222356.6233
780,175.5193992,222356.695
781,175.7434293,222356.7657
782,175.9674593,222356.8356
783,176.1914894,222356.9046
784,176.4155194,222356.9727
785,176.6395494,222357.04
786,176.8635795,222357.1064
787,177.0876095,222357.1721
788,177.3116395,222357.2369
789,177.5356696,222357.3009
790,177.7596996,222357.3641
791,177.9837297,222357.4266
792,178.2077597,222357.4883
793,178.4317897,222357.5492
794,178.6558198,222357.6093
795,178.8798498,222357.6688
796,179.1038798,222357.7274
797,179.3279099,222357.7854
798,179.5519399,222357.8427
799,179.77597,222357.8992
800,180,222357.9551
